road_user_type,sex,age_group,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,25 to 29,206,180,189,170,193,167,95,120,148,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,30 to 39,295,255,266,250,286,286,214,242,282,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,40 to 49,275,274,255,270,267,253,191,187,240,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,50 to 59,288,303,273,290,309,337,223,264,289,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,60 to 69,299,288,298,299,314,290,250,236,287,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,70 to 79,323,295,297,306,356,349,211,255,318,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,80 and over,329,299,283,311,309,312,158,172,266,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,All ages,"3,157","3,034","2,866","2,905","2,987","2,884","1,935","2,232","2,724","2,793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,Under 16,"1,884","1,762","1,602","1,513","1,528","1,425",989,"1,251","1,415","1,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,16,120,110,107,128,109,103,65,99,90,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,17 to 20,467,470,416,464,416,433,244,296,358,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,21 to 24,471,450,420,385,402,367,200,279,325,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,25 to 29,516,501,470,474,476,457,281,312,383,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,30 to 39,808,738,699,785,797,827,612,636,743,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,40 to 49,719,706,669,702,742,673,526,561,632,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,50 to 59,672,719,702,690,726,783,517,574,660,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,60 to 69,615,617,625,622,660,578,487,491,612,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,70 to 79,612,562,603,600,663,654,408,439,552,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,80 and over,607,554,563,551,547,551,309,349,466,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,All ages,"7,587","7,295","6,955","6,967","7,118","6,891","4,664","5,328","6,274","6,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,Under 16,359,348,354,399,373,397,344,329,285,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,16,70,60,57,57,60,57,53,58,47,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,17 to 20,226,202,211,189,202,178,184,230,205,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,21 to 24,292,252,244,231,203,207,191,206,202,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,25 to 29,418,338,338,330,312,274,295,319,309,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,30 to 39,783,732,690,662,681,601,567,618,631,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,40 to 49,957,874,749,720,702,680,660,574,556,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,50 to 59,618,635,624,604,613,612,690,681,580,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,60 to 69,275,235,259,269,298,283,362,318,314,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,70 to 79,100,105,96,130,127,127,188,163,150,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,80 and over,27,35,32,38,40,34,39,46,41,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,All ages,"4,177","3,858","3,697","3,664","3,645","3,489","3,605","3,576","3,358","3,287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,Under 16,55,53,47,57,37,49,41,57,43,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,16,13,7,5,7,5,6,7,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,17 to 20,36,35,24,31,30,37,33,22,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,21 to 24,80,64,60,52,53,44,54,50,49,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,25 to 29,106,106,91,83,108,90,104,104,102,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,30 to 39,191,153,149,159,147,159,134,140,160,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,40 to 49,173,159,148,141,140,144,143,139,127,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,50 to 59,137,128,139,148,168,151,162,164,148,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,60 to 69,57,44,50,59,52,65,84,86,79,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,70 to 79,17,26,15,13,24,17,32,30,20,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,80 and over,6,6,1,7,6,8,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,All ages,879,792,738,765,773,773,802,813,765,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,Under 16,414,401,401,457,411,446,385,386,327,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,16,83,67,62,64,64,63,60,64,51,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,17 to 20,262,238,235,220,232,215,217,252,226,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,21 to 24,372,316,303,282,255,251,245,258,250,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,25 to 29,524,444,429,413,420,364,399,424,413,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,30 to 39,975,885,839,821,828,761,701,761,795,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,40 to 49,"1,130","1,033",898,861,841,823,803,713,683,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,50 to 59,755,763,763,752,781,763,852,847,729,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,60 to 69,332,280,309,328,349,348,446,404,393,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,70 to 79,116,131,111,143,151,145,220,194,170,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,80 and over,33,41,34,45,46,41,42,51,45,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,All ages,"5,056","4,652","4,436","4,429","4,418","4,264","4,409","4,396","4,136","4,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,Under 16,20,22,25,30,42,33,36,49,57,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,16,161,155,137,149,111,104,93,79,89,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,17 to 20,"1,015",981,895,816,735,725,543,786,764,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,21 to 24,887,885,893,802,690,605,462,531,560,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,25 to 29,823,866,854,860,803,803,587,602,659,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,30 to 39,"1,130","1,027","1,087","1,053","1,089","1,009",899,972,"1,065",991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,40 to 49,"1,148","1,060","1,007",823,828,745,556,607,675,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,50 to 59,967,942,946,879,941,892,688,839,808,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,60 to 69,343,348,351,357,389,407,326,400,466,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,70 to 79,87,99,87,97,114,103,115,126,162,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,80 and over,13,21,8,15,11,20,13,12,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,All ages,"6,654","6,465","6,348","5,905","5,781","5,465","4,333","5,019","5,356","5,203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,Under 16,1,0,1,2,1,0,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,16,15,15,18,8,8,7,2,3,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,17 to 20,63,59,62,56,42,43,17,38,47,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,21 to 24,53,55,61,54,47,27,29,30,33,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,25 to 29,58,44,41,37,38,43,39,36,46,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,30 to 39,78,67,59,69,64,63,53,60,69,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,40 to 49,83,75,65,67,61,52,42,61,50,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,50 to 59,73,59,51,57,61,76,50,53,64,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,60 to 69,6,9,13,14,13,6,15,18,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,70 to 79,0,2,3,4,2,3,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,80 and over,1,0,0,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,All ages,431,389,380,369,342,320,250,302,342,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,Under 16,21,22,26,32,43,33,37,50,60,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,16,175,170,156,157,119,111,95,82,99,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,17 to 20,"1,077","1,040",957,872,778,768,561,825,811,843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,21 to 24,940,940,955,856,737,632,490,561,594,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,25 to 29,881,910,895,897,842,846,626,638,706,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,30 to 39,"1,209","1,094","1,147","1,122","1,153","1,071",953,"1,034","1,133","1,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,40 to 49,"1,230","1,135","1,073",891,889,796,598,670,727,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,50 to 59,"1,040","1,000",997,936,"1,001",968,738,893,872,802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,60 to 69,348,357,364,372,402,413,341,419,482,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,70 to 79,87,101,90,102,117,106,116,127,165,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,80 and over,14,21,8,15,12,20,14,13,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,All ages,"7,085","6,855","6,729","6,274","6,124","5,785","4,586","5,331","5,708","5,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,Under 16,18,17,11,27,32,23,16,14,25,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,16,5,5,6,12,5,14,9,7,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,17 to 20,36,37,28,37,34,35,22,30,40,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,21 to 24,22,16,20,18,21,13,11,8,18,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,25 to 29,11,11,13,17,14,10,8,10,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,30 to 39,14,9,8,11,13,11,10,10,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,40 to 49,5,7,3,4,4,1,2,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,50 to 59,4,4,4,3,2,3,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,60 to 69,1,1,1,2,2,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,70 to 79,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,80 and over,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,All ages,117,111,97,132,128,110,81,86,127,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,Under 16,5,3,6,7,4,6,5,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,16,5,1,1,1,7,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,17 to 20,25,13,14,13,18,9,8,5,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,21 to 24,13,18,20,10,15,8,7,7,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,25 to 29,14,15,13,15,10,10,2,5,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,30 to 39,29,23,11,17,29,14,8,16,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,40 to 49,49,29,27,24,21,28,9,17,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,50 to 59,40,38,40,26,37,29,20,20,37,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,60 to 69,16,14,16,18,12,12,9,12,20,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,70 to 79,2,4,4,5,5,3,4,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,80 and over,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,All ages,200,161,152,135,162,125,74,93,122,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,Under 16,22,20,17,34,35,29,21,18,32,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,16,10,6,8,13,12,16,9,9,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,17 to 20,61,50,42,50,51,44,29,36,53,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,21 to 24,35,33,40,29,36,21,18,15,23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,25 to 29,25,27,26,32,25,19,11,15,10,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,30 to 39,43,32,18,27,42,25,18,26,24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,40 to 49,54,36,31,28,25,29,11,21,26,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,50 to 59,44,42,44,29,39,31,22,21,38,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,60 to 69,17,15,17,20,14,13,9,12,21,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,70 to 79,2,5,4,5,5,3,4,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,80 and over,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,All ages,317,272,249,267,290,236,156,178,249,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,Under 16,4,4,0,3,7,4,6,8,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,16,7,10,2,5,5,6,7,2,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,17 to 20,582,548,496,482,494,468,363,383,472,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,21 to 24,651,686,570,561,528,504,436,436,469,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,25 to 29,653,670,670,634,576,627,489,566,460,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,30 to 39,901,853,960,868,907,983,780,897,919,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,40 to 49,824,753,710,658,700,639,536,604,599,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,50 to 59,660,664,593,639,652,613,531,556,631,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,60 to 69,521,480,441,403,458,430,343,357,447,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,70 to 79,393,412,382,366,422,412,298,322,392,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,80 and over,329,338,305,302,352,307,194,269,322,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,All ages,"5,544","5,451","5,157","4,936","5,136","5,027","4,007","4,426","4,752","4,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,Under 16,0,0,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,16,1,1,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,17 to 20,296,256,247,223,214,221,168,158,197,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,21 to 24,352,337,306,292,263,263,196,282,226,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,25 to 29,342,317,318,306,305,320,265,268,289,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,30 to 39,524,479,494,453,499,533,364,478,537,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,40 to 49,511,493,450,409,413,383,302,352,406,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,50 to 59,452,443,468,420,480,429,329,371,457,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,60 to 69,341,291,308,295,338,317,215,256,320,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,70 to 79,240,241,249,264,317,292,173,213,291,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,80 and over,193,157,175,178,177,197,106,126,171,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,All ages,"3,267","3,031","3,026","2,847","3,016","2,966","2,130","2,511","2,901","2,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,Under 16,4,4,0,4,7,5,6,8,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,16,8,11,3,5,5,6,8,2,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,17 to 20,878,803,742,705,708,690,531,541,669,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,21 to 24,"1,003","1,023",876,854,791,768,632,718,696,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,25 to 29,995,987,988,941,881,948,754,834,748,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,30 to 39,"1,424","1,332","1,455","1,321","1,406","1,516","1,143","1,377","1,459","1,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,40 to 49,"1,334","1,246","1,160","1,066","1,113","1,023",837,956,"1,006","1,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,50 to 59,"1,113","1,107","1,061","1,059","1,132","1,042",860,928,"1,089","1,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,60 to 69,862,771,749,697,796,747,558,612,767,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,70 to 79,633,654,631,631,739,704,472,535,684,732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,80 and over,522,495,480,480,529,504,301,395,495,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,All ages,"8,812","8,484","8,184","7,785","8,153","7,995","6,139","6,944","7,664","7,818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,Under 16,272,247,263,260,241,269,166,205,243,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,16,41,43,42,29,44,35,30,34,47,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,17 to 20,421,402,324,355,336,358,291,326,414,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,21 to 24,253,270,288,254,223,205,156,222,219,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,25 to 29,195,180,204,217,201,190,152,182,170,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,30 to 39,202,205,201,189,206,208,183,210,194,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,40 to 49,122,110,118,104,98,122,76,81,95,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,50 to 59,100,81,104,82,86,88,59,72,105,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,60 to 69,72,68,71,54,67,63,47,48,78,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,70 to 79,50,57,59,55,57,56,30,37,50,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,80 and over,49,56,58,49,50,60,25,35,56,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
