road_user_type,sex,age_group,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,30 to 39,13,8,16,15,8,5,8,17,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,40 to 49,13,13,19,16,13,10,4,7,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,50 to 59,12,18,9,20,20,18,10,14,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,60 to 69,20,13,18,17,19,21,19,16,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,70 to 79,23,21,24,23,25,32,19,17,21,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,80 and over,41,37,39,42,38,35,20,20,30,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,All ages,161,137,150,155,158,146,102,115,129,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,Under 16,29,25,34,22,28,18,22,17,17,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,16,6,4,3,4,5,2,3,3,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,17 to 20,17,18,21,17,21,13,16,18,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,21 to 24,23,23,21,18,26,26,13,14,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,25 to 29,31,21,21,32,16,26,14,17,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,30 to 39,56,44,56,55,54,65,47,49,57,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,40 to 49,51,44,53,58,51,47,45,57,42,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,50 to 59,42,56,52,48,51,58,42,44,45,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,60 to 69,55,47,41,47,54,53,43,50,48,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,70 to 79,50,52,61,69,74,77,50,46,52,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,80 and over,86,74,84,100,76,85,51,46,72,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,All ages,446,408,448,470,456,470,346,361,385,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,Under 16,6,3,8,1,5,8,9,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,16,0,0,1,2,3,1,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,17 to 20,2,3,5,3,1,1,6,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,21 to 24,8,5,4,6,6,0,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,25 to 29,8,1,1,7,0,4,4,6,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,30 to 39,10,9,11,14,7,8,16,11,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,40 to 49,18,23,15,11,14,20,13,13,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,50 to 59,16,14,17,13,16,15,26,20,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,60 to 69,14,9,12,14,16,16,18,8,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,70 to 79,10,9,10,12,10,10,26,19,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,80 and over,1,3,4,6,3,3,10,4,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,All ages,93,79,88,89,81,86,130,94,76,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,Under 16,0,3,0,1,0,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,17 to 20,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,21 to 24,3,0,0,2,0,0,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,25 to 29,3,4,2,0,3,2,2,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,30 to 39,1,2,3,5,0,0,3,3,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,40 to 49,4,3,1,0,2,4,1,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,50 to 59,2,5,4,2,8,4,2,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,60 to 69,5,2,2,0,2,1,0,3,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,70 to 79,2,2,2,0,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,80 and over,0,0,0,1,2,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,All ages,20,21,14,12,18,14,11,17,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,Under 16,6,6,8,2,5,10,9,3,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,16,0,0,1,2,3,1,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,17 to 20,2,3,5,4,1,1,7,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,21 to 24,11,5,4,8,6,0,1,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,25 to 29,11,5,3,7,3,6,6,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,30 to 39,11,11,14,19,7,8,19,14,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,40 to 49,22,26,16,11,16,24,14,17,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,50 to 59,18,19,21,15,24,19,28,22,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,60 to 69,19,11,14,14,18,17,18,11,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,70 to 79,12,11,12,12,11,11,27,20,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,80 and over,1,3,4,7,5,3,11,4,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,All ages,113,100,102,101,99,100,141,111,91,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,Under 16,0,0,1,1,0,0,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,16,1,4,3,1,2,1,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,17 to 20,27,31,22,20,23,23,15,27,31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,21 to 24,39,39,37,27,28,33,30,27,24,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,25 to 29,38,45,41,52,44,42,40,32,43,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,30 to 39,59,60,48,65,66,55,60,55,65,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,40 to 49,66,76,64,51,53,42,29,35,55,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,50 to 59,59,57,54,62,71,73,45,74,51,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,60 to 69,21,21,26,32,32,38,32,27,38,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,70 to 79,6,10,7,11,16,10,12,15,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,80 and over,1,2,0,1,2,0,0,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,All ages,317,345,303,323,337,317,265,296,334,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,Under 16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,17 to 20,2,1,0,1,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,21 to 24,0,2,1,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,25 to 29,1,0,1,0,3,2,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,30 to 39,1,0,2,2,1,0,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,40 to 49,1,1,4,2,0,0,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,50 to 59,3,3,0,0,2,3,2,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,60 to 69,0,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,70 to 79,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,80 and over,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,All ages,8,7,10,6,8,5,10,6,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,Under 16,0,0,1,1,0,0,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,16,1,4,3,1,2,1,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,17 to 20,29,32,22,21,25,23,16,27,32,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,21 to 24,39,41,38,28,28,33,31,27,24,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,25 to 29,39,45,42,52,47,44,42,32,43,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,30 to 39,60,60,50,67,67,55,62,57,67,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,40 to 49,67,77,68,53,53,42,31,37,57,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,50 to 59,62,60,54,62,73,76,47,75,54,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,60 to 69,21,21,27,32,32,38,32,28,38,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,70 to 79,6,10,8,11,16,10,12,15,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,80 and over,1,2,0,1,2,0,0,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,All ages,325,352,313,329,345,322,275,302,342,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,Under 16,0,0,0,1,0,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,16,0,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,17 to 20,2,1,0,3,1,3,0,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,21 to 24,2,0,1,1,0,2,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,25 to 29,1,0,0,0,0,0,4,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,30 to 39,1,2,0,0,0,1,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,40 to 49,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,50 to 59,0,0,1,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,60 to 69,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,70 to 79,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,80 and over,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,All ages,6,4,2,9,1,7,8,3,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,Under 16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,17 to 20,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,21 to 24,0,3,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,25 to 29,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,30 to 39,2,0,0,1,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,40 to 49,3,2,1,4,2,3,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,50 to 59,1,3,2,3,0,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,60 to 69,1,0,1,1,4,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,70 to 79,0,1,0,1,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,80 and over,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,All ages,8,9,4,11,8,7,2,5,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,Under 16,0,0,0,1,0,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,16,0,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,17 to 20,3,1,0,3,1,3,0,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,21 to 24,2,3,1,1,1,2,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,25 to 29,1,0,0,1,0,0,4,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,30 to 39,3,2,0,1,0,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,40 to 49,3,2,1,5,2,3,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,50 to 59,1,3,3,4,0,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,60 to 69,1,0,1,2,4,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,70 to 79,0,1,0,1,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,80 and over,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,All ages,14,13,6,20,9,14,10,8,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,Under 16,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,16,0,1,1,1,0,0,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,17 to 20,36,42,35,40,34,27,23,41,43,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,21 to 24,54,63,52,45,49,44,32,27,39,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,25 to 29,49,60,49,51,47,38,38,50,37,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,30 to 39,53,40,77,80,79,57,45,83,63,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,40 to 49,51,57,53,45,44,37,53,33,50,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,50 to 59,46,42,39,50,43,32,52,40,47,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,60 to 69,52,31,33,39,29,36,32,31,39,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,70 to 79,36,41,35,36,38,53,34,34,45,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,80 and over,44,45,48,33,54,41,28,42,52,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,All ages,421,422,422,420,417,366,339,382,415,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,Under 16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,17 to 20,11,6,9,7,9,8,2,5,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,21 to 24,19,9,13,16,7,9,9,5,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,25 to 29,15,13,13,11,9,11,11,13,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,30 to 39,16,17,16,17,18,11,20,10,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,40 to 49,21,12,12,12,16,8,16,8,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,50 to 59,14,15,16,14,11,22,19,23,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,60 to 69,19,10,11,21,17,24,5,9,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,70 to 79,11,19,18,19,27,24,15,15,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,80 and over,21,11,22,17,15,25,13,12,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,All ages,147,112,130,134,129,142,110,100,128,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,Under 16,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,16,0,1,1,1,0,0,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,17 to 20,47,48,44,47,43,35,25,46,51,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,21 to 24,73,72,65,61,56,53,41,32,50,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,25 to 29,64,73,62,62,56,49,49,63,50,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,30 to 39,69,57,93,97,97,68,65,93,78,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,40 to 49,72,69,65,57,60,45,69,41,63,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,50 to 59,60,57,55,64,54,54,71,63,57,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,60 to 69,71,41,44,60,46,60,37,40,50,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,70 to 79,47,60,53,55,65,77,49,49,69,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,80 and over,65,56,70,50,69,66,41,54,75,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,All ages,568,534,552,554,546,508,449,482,543,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,Under 16,11,10,11,13,9,3,5,7,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,16,2,3,0,1,2,2,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,17 to 20,36,25,19,25,23,25,18,23,30,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,21 to 24,22,21,26,15,23,12,9,16,21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,25 to 29,13,18,13,15,13,15,12,20,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,30 to 39,10,7,12,11,12,14,11,15,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,40 to 49,6,6,9,6,3,10,8,7,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,50 to 59,4,5,7,5,5,4,2,6,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,60 to 69,5,3,4,3,2,7,6,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,70 to 79,0,5,7,3,5,6,3,5,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,80 and over,9,8,9,13,7,12,6,4,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,All ages,118,111,117,110,104,110,81,108,118,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,Under 16,7,9,15,7,6,5,5,5,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,16,5,4,5,2,1,4,2,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,17 to 20,14,10,19,10,12,13,12,12,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,21 to 24,7,1,6,8,9,5,11,9,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,25 to 29,6,6,11,8,8,3,6,5,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,30 to 39,5,4,12,7,11,5,12,8,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,40 to 49,3,9,9,14,5,4,2,7,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,50 to 59,5,7,8,8,10,6,6,10,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
