road_user_type,sex,age_group,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,All ages,316,286,310,323,299,291,228,278,314,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,Under 16,19,19,25,30,41,32,36,49,59,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,16,125,129,132,138,104,101,86,73,90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,17 to 20,788,771,794,768,688,700,512,761,756,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,21 to 24,698,689,778,775,670,580,453,521,554,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,25 to 29,647,669,725,817,762,789,582,598,662,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,30 to 39,906,798,944,"1,033","1,056",996,892,978,"1,072","1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,40 to 49,950,882,915,808,813,745,555,633,685,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,50 to 59,835,806,863,850,918,903,687,845,822,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,60 to 69,275,290,319,338,362,378,321,393,455,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,70 to 79,72,85,80,90,106,97,109,118,153,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,80 and over,10,18,6,13,10,19,13,12,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,All,All ages,"5,370","5,195","5,627","5,681","5,559","5,357","4,261","4,998","5,363","5,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,Under 16,12,14,10,26,29,21,15,13,24,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,16,4,4,6,11,4,13,9,7,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,17 to 20,29,31,25,35,32,34,21,29,39,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,21 to 24,19,12,18,18,20,12,11,7,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,25 to 29,10,9,11,16,13,9,8,10,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,30 to 39,11,7,6,10,12,10,9,9,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,40 to 49,4,5,3,4,4,1,2,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,50 to 59,3,3,4,2,2,2,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,60 to 69,0,1,1,2,2,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,70 to 79,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,80 and over,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Male,All ages,92,88,85,124,119,103,77,80,123,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,Under 16,4,2,5,6,3,6,5,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,16,4,1,1,1,7,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,17 to 20,21,8,10,11,16,7,7,5,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,21 to 24,8,14,17,9,12,7,6,7,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,25 to 29,9,12,11,14,9,9,2,5,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,30 to 39,24,17,8,15,26,12,7,15,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,40 to 49,41,22,25,20,18,25,8,15,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,50 to 59,31,28,35,21,33,24,17,18,35,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,60 to 69,13,11,13,17,11,11,8,10,18,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,70 to 79,1,3,4,4,4,2,4,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,80 and over,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,Female,All ages,158,120,129,118,143,110,66,84,113,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,Under 16,16,16,15,32,32,27,20,16,30,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,16,8,5,7,12,11,15,9,9,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,17 to 20,50,39,35,46,48,41,28,34,51,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,21 to 24,27,26,35,27,32,19,17,14,22,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,25 to 29,19,21,22,30,22,18,10,15,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,30 to 39,35,24,14,25,38,22,16,24,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,40 to 49,45,27,28,24,22,26,10,19,26,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,50 to 59,34,31,39,23,35,26,19,19,36,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,60 to 69,13,12,14,19,13,12,8,10,19,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,70 to 79,1,4,4,4,4,2,4,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,80 and over,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle passengers,All,All ages,250,208,214,242,262,213,144,164,236,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,Under 16,3,3,0,3,7,4,6,8,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,16,6,8,2,4,4,6,7,2,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,17 to 20,410,380,395,396,420,411,321,342,425,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,21 to 24,452,496,457,472,445,445,388,394,430,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,25 to 29,466,475,538,535,483,554,437,520,419,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,30 to 39,620,575,767,723,761,873,691,820,847,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,40 to 49,557,511,545,540,580,552,471,550,543,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,50 to 59,447,449,452,526,544,525,475,503,578,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,60 to 69,365,334,343,322,378,365,305,315,405,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,70 to 79,269,298,308,298,352,362,265,289,352,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,80 and over,242,249,249,253,297,267,169,240,291,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Male,All ages,"3,849","3,804","4,079","4,086","4,303","4,394","3,557","4,009","4,327","4,437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,Under 16,0,0,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,16,1,1,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,17 to 20,197,166,190,172,167,192,148,139,175,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,21 to 24,228,224,232,234,215,225,171,255,205,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,25 to 29,218,201,236,239,245,274,235,241,264,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,30 to 39,337,303,376,360,405,459,318,432,490,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,40 to 49,325,320,334,321,330,326,264,315,368,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,50 to 59,296,295,369,328,401,365,292,334,420,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,60 to 69,250,205,246,241,285,277,192,233,293,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,70 to 79,176,180,205,223,277,259,157,194,268,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,80 and over,155,119,147,154,153,177,95,115,159,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,Female,All ages,"2,194","2,027","2,345","2,278","2,487","2,563","1,882","2,264","2,649","2,715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,Under 16,3,3,0,4,7,5,6,8,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,16,7,9,3,4,4,6,8,2,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,17 to 20,607,546,585,568,587,603,469,481,600,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,21 to 24,680,720,689,706,660,670,559,650,636,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,25 to 29,684,676,774,774,728,828,672,761,683,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,30 to 39,957,878,"1,143","1,083","1,166","1,332","1,009","1,254","1,340","1,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,40 to 49,882,831,879,861,910,879,735,865,912,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,50 to 59,743,744,821,854,945,890,767,837,999,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,60 to 69,615,539,589,563,663,642,497,548,698,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,70 to 79,445,479,513,521,629,621,422,483,621,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,80 and over,397,368,396,407,450,444,264,355,451,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car drivers,All,All ages,"6,043","5,833","6,424","6,365","6,791","6,959","5,441","6,279","6,987","7,169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,Under 16,168,155,198,202,188,231,144,183,219,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,16,25,30,33,22,37,32,26,32,43,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,17 to 20,292,293,259,297,281,317,268,305,380,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,21 to 24,168,195,242,220,189,185,137,210,207,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,25 to 29,135,127,164,188,176,169,140,171,161,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,30 to 39,140,144,161,158,170,180,163,197,182,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,40 to 49,81,74,92,85,79,108,67,74,87,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,50 to 59,68,53,85,67,71,76,52,66,99,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,60 to 69,49,48,58,42,56,53,43,43,72,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,70 to 79,34,39,48,47,47,50,27,34,45,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,80 and over,36,44,49,43,41,54,23,31,52,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Male,All ages,"1,212","1,229","1,403","1,388","1,354","1,480","1,106","1,375","1,562","1,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,Under 16,162,173,195,172,175,226,151,185,202,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,16,45,39,45,36,39,32,30,35,32,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,17 to 20,202,202,227,257,238,255,227,261,282,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passengers,Female,21 to 24,137,121,141,152,144,157,134,158,169,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
